[i] Train : 3002
[i] Valid : 333
[i] Test : 210
[i] restored imagenet parameters (VGG16)
[i] iter : 5800, loss : 0.8445, class_loss = 0.6279, l2_reg_loss : 0.2166, time : 161sec
[i] iter : 5900, loss : 0.8467, class_loss = 0.6283, l2_reg_loss : 0.2184, time : 161sec
[i] iter : 6000, loss : 0.8397, class_loss = 0.6162, l2_reg_loss : 0.2235, time : 160sec
[i] valid meanIU : 4.19%, best valid meanIU : 4.19%
[i] iter : 6100, loss : 0.8475, class_loss = 0.6210, l2_reg_loss : 0.2265, time : 179sec
[i] iter : 6200, loss : 0.8374, class_loss = 0.6066, l2_reg_loss : 0.2307, time : 160sec
[i] iter : 6300, loss : 0.8210, class_loss = 0.5896, l2_reg_loss : 0.2315, time : 160sec
[i] iter : 6400, loss : 0.8269, class_loss = 0.5921, l2_reg_loss : 0.2349, time : 162sec
[i] iter : 6500, loss : 0.8345, class_loss = 0.5959, l2_reg_loss : 0.2386, time : 162sec
[i] iter : 6600, loss : 0.8289, class_loss = 0.5850, l2_reg_loss : 0.2439, time : 162sec
[i] iter : 6700, loss : 0.8335, class_loss = 0.5859, l2_reg_loss : 0.2476, time : 162sec
[i] iter : 6800, loss : 0.8318, class_loss = 0.5798, l2_reg_loss : 0.2519, time : 161sec
[i] iter : 6900, loss : 0.8289, class_loss = 0.5713, l2_reg_loss : 0.2577, time : 160sec
[i] iter : 7000, loss : 0.8429, class_loss = 0.5801, l2_reg_loss : 0.2629, time : 162sec
[i] valid meanIU : 4.14%, best valid meanIU : 4.19%
[i] iter : 7100, loss : 0.8215, class_loss = 0.5558, l2_reg_loss : 0.2657, time : 177sec
[i] iter : 7200, loss : 0.8275, class_loss = 0.5599, l2_reg_loss : 0.2675, time : 159sec
[i] iter : 7300, loss : 0.8357, class_loss = 0.5640, l2_reg_loss : 0.2717, time : 161sec
[i] iter : 7400, loss : 0.8128, class_loss = 0.5355, l2_reg_loss : 0.2774, time : 159sec
[i] iter : 7500, loss : 0.8459, class_loss = 0.5650, l2_reg_loss : 0.2809, time : 160sec
[i] iter : 7600, loss : 0.8282, class_loss = 0.5435, l2_reg_loss : 0.2847, time : 161sec
[i] iter : 7700, loss : 0.8238, class_loss = 0.5351, l2_reg_loss : 0.2887, time : 162sec
[i] iter : 7800, loss : 0.8134, class_loss = 0.5211, l2_reg_loss : 0.2922, time : 162sec
[i] iter : 7900, loss : 0.8299, class_loss = 0.5338, l2_reg_loss : 0.2960, time : 162sec
[i] iter : 8000, loss : 0.8364, class_loss = 0.5345, l2_reg_loss : 0.3019, time : 160sec
[i] valid meanIU : 4.09%, best valid meanIU : 4.19%
[i] iter : 8100, loss : 0.8214, class_loss = 0.5150, l2_reg_loss : 0.3064, time : 177sec
[i] iter : 8200, loss : 0.8027, class_loss = 0.4923, l2_reg_loss : 0.3104, time : 158sec
[i] iter : 8300, loss : 0.8252, class_loss = 0.5093, l2_reg_loss : 0.3159, time : 160sec
[i] iter : 8400, loss : 0.8184, class_loss = 0.4956, l2_reg_loss : 0.3228, time : 160sec
